PubMed_ID	Year	Title
40527887	2025	PubMed knowledge graph 2.0: Connecting papers, patents, and clinical trials in
40857811	2025	Med-KGMA: A novel AI-driven medical support system leveraging knowledge graphs
41584517	2025	KG2ML: integrating knowledge graphs and positive unlabeled learning for
39677476	2025	ClinVec: Unified Embeddings of Clinical Codes Enable Knowledge-Grounded AI in
41159113	2025	Structured RDF dataset for genomic feature extraction and detection of
41260782	2025	Applications of artificial intelligence in the research of molecular mechanisms
41044475	2025	AgroLD: a knowledge graph for the plant sciences.
40171303	2025	Knowledge graph and its application in the study of neurological and mental
40008124	2025	KGRDR: a deep learning model based on knowledge graph and graph regularized
40544900	2025	KGiA: Drug repurposing through disease-aware knowledge graph augmentation.
41158176	2025	Knowledge graph for traditional Chinese medicine diagnosis and treatment of
41282120	2025	Bridging the Computational-Experimental Gap: Leveraging Large Language Model to
41310422	2025	miCDER: a context-aware transformer model for joint miRNA-disease entity and
41337148	2025	SL-MERK: Synthetic Lethality Mechanism Explainer based on GraphRAG and Knowledge
40997587	2025	A novel memory interaction neural network for multi-label drug-drug interaction
40658983	2025	Performance of Large Language Models in Numerical Versus Semantic Medical
40330554	2025	Elucidating the mechanistic relationships between peroxisome
40341005	2025	The SPHN Schema Forge - transform healthcare semantics from human-readable to
40223439	2025	An update on knowledge graphs and their current and potential applications in
40502231	2025	Predicting Natural Product-Drug Interactions with Knowledge Graph Embeddings.
39541901	2025	A step towards quantifying, modelling and exploring uncertainty in biomedical
40380549	2025	Semantic Representation of Medical Data Collection Forms Using Standards.
40678475	2025	Adaptive multi-view learning method for enhanced drug repurposing using
41362652	2025	CHIASMA: Advancing chemicals and materials safety and sustainability assessments
40784078	2025	The use of knowledge graphs for drug repurposing: From classical machine learning
41385121	2025	The 28-year evolution of laser acupuncture: a CiteSpace knowledge graph
40592888	2025	Construction, Deployment, and Usage of the Human Reference Atlas Knowledge Graph.
40603824	2025	Construction and Application of Traditional Chinese Medicine Knowledge Graph
40151464	2025	Edge-level multi-constraint graph pattern matching with lung cancer knowledge
39316494	2025	SLInterpreter: An Exploratory and Iterative Human-AI Collaborative System for
40085402	2025	MedKG: enabling drug discovery through a unified biomedical knowledge graph.
40945250	2025	rweChemScreener: high-dimension mediation analysis detects potential effective
41070750	2025	Database Release: PPSDB, a Linked Open Data Knowledge Base for Protist-Prokaryote
41222841	2025	LKE-DTA: predicting drug-target binding affinity with large language model
40066020	2025	Towards cognition-emotion-behaviour models of nonsuicidal self-injury: a
39926165	2025	Increased discoverability of rare disease datasets through knowledge graph
40502260	2025	Leveraging Social Determinants of Health in Alzheimer's Research Using
40327469	2025	Synergistic Drug Combination Prediction via Dual-Level Feature Aggregation and
40434860	2025	Knowledge-Driven Graph Representation Learning for Myocardial Infarction
40031828	2025	Enhancing Visual Reasoning With LLM-Powered Knowledge Graphs for Visual Question
40440330	2025	ERNIE-UIE: Advancing information extraction in Chinese medical knowledge graph.
40639554	2025	MedKA: A knowledge graph-augmented approach to improve factuality in medical
40790196	2025	Semantics-driven improvements in electronic health records data quality: a
40380641	2025	Development of a Voice-Interactive Chatbot for Personalized Health Management
40564412	2025	Graph Representation Learning for the Prediction of Medication Usage in the UK
41250680	2025	Structured reflective reasoning for precise medical knowledge graph retrieval
40971592	2025	A retrieval-augmented knowledge mining method with deep thinking LLMs for
41304505	2025	Graph Neural Network-Based Toxicity Prediction by Integrating Molecular
40166563	2025	KG2ML: Integrating Knowledge Graphs and Positive Unlabeled Learning for
41476879	2025	A self-correcting Agentic Graph RAG for clinical decision support in hepatology.
41052200	2025	Multimodal LLM for Patient Activity Recognition: Integrating Video, Audio, and
40598311	2025	Research on the construction and application of pathology knowledge graph.
41340887	2025	Explainable rule-based prediction of cultivation media for microbes.
40811188	2025	A Hybrid Ensemble End-to-End Neural Network for Accurate Protein-Protein
40295595	2025	Chinese medical named entity recognition integrating adversarial training and
40959983	2025	Graph Neural Networks in Modern AI-Aided Drug Discovery.
40518789	2025	[Rules of moxibustion for low back pain by ZHOU Meisheng based on data mining and
40074859	2025	From biomedical knowledge graph construction to semantic querying: a
39713411	2025	BioMedGraphica: An All-in-One Platform for Joint Textual Biomedical Prior
40352392	2025	Efficient constitution of a library of rotenoid analogs active against
40106799	2025	Improving Dietary Supplement Information Retrieval: Development of a
41444381	2025	SynergyGraph: predicting cell line specific drug combination synergy scores using
40217132	2025	GeOKG: geometry-aware knowledge graph embedding for Gene Ontology and genes.
39775838	2025	Knowledge graph-based thought: a knowledge graph-enhanced LLM framework for
40030432	2025	CBKG-DTI: Multi-Level Knowledge Distillation and Biomedical Knowledge Graph for
40051508	2025	Building an intelligent diabetes Q&A system with knowledge graphs and large
40909156	2025	Improving Biomedical Knowledge Graph Quality: A Community Approach.
40977266	2025	CKG-TPI: integrating collaborative knowledge graph with sequence interactions for
40518792	2025	[Study on knowledge organization and representation of medical records of stroke
41286278	2025	Underwater fish image recognition based on knowledge graphs and semi-supervised
40357648	2025	BioPortal: an open community resource for sharing, searching, and utilizing
39455647	2024	Knowledge graph driven medicine recommendation system using graph neural networks
38622164	2024	Repurposing non-pharmacological interventions for Alzheimer's disease through
39595624	2024	Visualization Methods for DNA Sequences: A Review and Prospects.
38952679	2024	Drug-target interaction prediction using knowledge graph embedding.
38043469	2024	MPTN: A message-passing transformer network for drug repurposing from knowledge
39091742	2024	DREAMER: Exploring Common Mechanisms of Adverse Drug Reactions and Disease
37398384	2024	Advancing Efficacy Prediction for EHR-based Emulated Trials in Repurposing Heart
40199309	2024	Knowledge Representation and Management: 2023 Highlights and the Rise of
38581417	2024	Bayesian functional analysis for untargeted metabolomics data with matching
38223896	2024	Biomedical Big Data Technologies, Applications, and Challenges for Precision
38975336	2024	IMGT/mAb-KG: the knowledge graph for therapeutic monoclonal antibodies.
39543721	2024	Accelerated hit identification with target evaluation, deep learning and
38475769	2024	KGSCS-a smart care system for elderly with geriatric chronic diseases: a
39303708	2024	Identifying compound-protein interactions with knowledge graph embedding of
38556728	2024	A computable biomedical knowledge system: Toward rapidly building
38295121	2024	A novel Multi-Level Refined (MLR) knowledge graph design and chatbot system for
39326691	2024	FuseLinker: Leveraging LLM's pre-trained text embeddings and domain knowledge to
38888947	2024	Developing a Chatbot to Support Individuals With Neurodevelopmental Disorders:
38415462	2024	Clinical Application of MRI in Coronavirus Disease 2019: A Bibliometric Analysis.
38559251	2024	MetagenomicKG: a knowledge graph for metagenomic applications.
38184359	2024	FIT-graph: A multi-grained evolutionary graph based framework for disease
38694562	2024	Model informed precision medicine of Chinese herbal medicines formulas-A
39633722	2024	CancerPro: deciphering the pan-cancer prognostic landscape through combinatorial
38269659	2024	A Personal Healthcare Knowledge Graph Framework for Diagnosis of Pelvic Masses
38994795	2024	Towards discovery: an end-to-end system for uncovering novel biomedical
39437605	2024	Multifocal region-assisted cross-modality learning for chest X-ray report
39746685	2024	[Visualization analysis of research progress on work-related musculoskeletal
37751105	2024	Global trends in PANoptosis research: bibliometrics and knowledge graph analysis.
38303427	2024	Enhancing traditional Chinese medicine diagnostics: Integrating ontological
38440103	2024	Mdpg: a novel multi-disease diagnosis prediction method based on patient
38670654	2024	Construction of microgravity biological knowledge graph and its applications in
38650693	2024	Acupuncture and tuina knowledge graph with prompt learning.
39594561	2024	Data-Driven Insights into the Association Between Oxidative Stress and
